CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
1.7,9.6,964,103,102,853,31.2,32.4,1.4517
1.7,9.8,972,75,84,752,34.4,26.6,1.423
1.5,10.3,991,72,83,778,36.1,22.1,1.3004
0.3,1.5,544,15,24,466,18.9,55.2,1.1895
0.5,3.5,681,52,43,609,18.2,57.6,1.193
1.3,8.3,911,85,64,863,18.6,56,1.1865
2.5,17.3,1220,177,91,1203,20.8,48,1.1702
3.7,23.3,1386,232,109,1412,23.3,38.6,1.0919
2.5,13.8,1111,201,110,1069,25.1,32.4,1.017
1.5,7.9,897,104,106,649,29.6,21,0.8548
1.5,8.8,930,89,104,598,30.2,18,0.7613
1.2,7.2,868,66,76,540,30.1,18.5,0.7747
1.4,8.3,912,85,84,601,29.5,19.4,0.7872
1.6,9.6,961,105,102,668,31.1,18.2,0.8079
3,16.1,1181,174,138,1010,26.1,28.3,0.9407
2.7,14.1,1121,149,126,967,24.5,35.7,1.0807
2.1,11.4,1027,114,112,904,23.1,41.5,1.1582
1.6,9.5,959,92,95,852,21.8,46.3,1.1913
1.3,7.4,875,75,80,744,20.9,48.9,1.1945
1.1,6.4,831,74,79,760,20.5,49.9,1.1903
0.7,4.1,715,35,49,613,20,50.9,1.1794
0.4,1.9,580,22,36,531,22.1,44.3,1.1665
0.2,1.2,522,24,40,509,19.8,50.3,1.1444
0.3,2.2,596,30,37,560,19,52.8,1.1489
5,30.2,1556,387,134,1660,20.6,47.7,1.1448
2.8,14.2,1124,267,123,1362,22.8,41.9,1.1496
2.8,14.3,1126,269,136,1316,27.1,31.7,1.1147
2.1,12.6,1069,193,109,1089,30.4,26.4,1.131
3.1,18,1240,239,144,1129,31.1,26.2,1.1647
1.7,11.2,1022,115,98,812,31.8,25.6,1.1868
2.2,13.6,1105,169,120,959,33.5,22.9,1.1649
4.1,23.1,1381,245,148,1283,29,30.4,1.2013
4,20.3,1304,236,139,1291,27.4,33.6,1.2095
1.8,9.3,949,104,93,949,25.2,36.4,1.1528
1.7,10.5,997,104,96,1018,24,39.6,1.1662
1.2,8,900,79,83,968,22.9,43.6,1.1974
0.5,3.2,666,38,55,714,21.8,47.3,1.2189
0.4,2.2,597,30,40,606,21.7,46.8,1.2031
1,6.7,842,73,51,819,20.3,52.3,1.2367
3.8,23.1,1380,305,117,1462,20.5,52.3,1.245
3.2,19,1268,295,110,1478,21.7,49.6,1.2673
3.5,20.1,1300,331,136,1598,24,43.1,1.2677
3.2,16.4,1192,304,152,1449,28.5,31.7,1.2144
2.2,13.1,1087,163,106,1023,34.9,20.5,1.1279
2.1,11.8,1042,132,101,910,35.4,19.9,1.1222
1.9,12.7,1075,126,110,913,34.4,22.5,1.205
2.4,14.1,1120,150,124,1035,34.8,22.8,1.2488
2.5,14.4,1131,171,137,1085,34.3,22.4,1.1907
3.6,20.7,1316,234,159,1278,32.5,25.3,1.2165
4.4,24.2,1408,294,166,1473,30.2,29,1.2224
4.8,21.8,1345,300,163,1507,28.5,33.3,1.2775
2.5,13,1084,159,121,1215,27.3,35.3,1.2606
2.8,15.1,1152,176,125,1242,26.1,37.8,1.2575
3.2,16.6,1197,192,120,1356,24.7,47.1,1.44
2.6,12.7,1072,152,103,1195,23.6,59.8,1.7193
1.5,8.6,923,63,64,899,23.3,60.5,1.706
1,5.3,778,35,44,726,23.3,59.4,1.6753
0.6,3.1,658,41,46,779,21.2,60.9,1.5092
0.7,3.7,696,48,54,801,22.1,56.2,1.48
1.2,6.9,851,102,68,983,21.9,57,1.4742
1.5,8.6,926,111,77,989,24.7,45.9,1.4061
1.3,7.1,860,93,74,875,27,40.8,1.4286
1.6,6.6,840,118,92,807,29.1,37.4,1.4833
1.5,7.2,866,93,83,727,31.1,32.4,1.4351
1.1,5.7,798,51,55,570,32.8,28.9,1.412
1.3,6.1,818,59,65,585,35.3,23.7,1.3331
1.4,8,899,62,74,637,35.8,22.4,1.2915
1.6,7.8,889,85,89,664,35.3,20.8,1.1664
2.1,11.1,1020,109,103,797,33.3,23.9,1.2085
3,15.9,1177,168,128,1046,30.3,30.8,1.3044
3.8,21.6,1340,149,125,1214,27.1,38.9,1.3758
3.2,16.8,1203,118,119,1056,25.4,43.2,1.3805
4.1,20.5,1310,160,126,1280,24.6,45.3,1.3767
2.6,14.1,1120,124,100,1045,23.7,46,1.3346
0.9,3.6,690,34,52,640,24.8,43.4,1.3366
0.6,2.4,616,45,64,662,21.7,50.2,1.2917
0.6,3,651,35,46,579,21.9,50.7,1.3138
1.6,8.9,934,141,88,987,20.1,57,1.3216
2.6,14.8,1141,199,104,1197,21.5,51.8,1.3129
2.8,14.6,1136,245,151,1370,25.7,41,1.3351
1.9,8,898,153,113,921,29.9,33.2,1.3793
1.9,9.1,942,145,102,876,32.9,28,1.3789
2.1,10,976,130,108,819,34,25.6,1.3363
1.9,9.8,970,95,93,763,34.7,22.6,1.2297
1.6,8.3,912,88,89,675,35.5,20.3,1.1586
1.6,7.5,880,89,84,637,35.9,18.8,1.0912
2.1,11.7,1038,127,111,826,36.2,18.6,1.0945
2.4,13.3,1094,149,115,854,35.4,15.3,0.8613
2.8,14.4,1128,170,127,894,32.9,15.5,0.7649
3.4,15.9,1176,230,140,1121,28.1,22.4,0.8394
2.7,14.2,1122,203,137,1071,26.1,24.7,0.8233
2.6,13.8,1110,174,130,1167,25,28.7,0.8944
2.3,11.7,1038,164,121,1162,24.3,31,0.9268
0.9,4.5,739,47,61,694,21.2,37.6,0.9355
0.4,2.3,606,41,58,610,19.5,42.4,0.9515
0.9,5.5,790,74,70,816,18.6,45.8,0.9723
1.8,10.4,993,168,104,1158,19.7,44.1,1.0039
2.2,12.4,1065,176,109,1228,21.9,39.4,1.0243
2.4,14,1118,184,129,1323,24.5,34.3,1.0407
2.3,12.7,1074,187,144,1274,30,25.6,1.0674
1.4,8.5,919,89,90,737,36.3,17.5,1.0411
1.4,8.2,909,70,86,675,37.7,16,1.0231
1,5.9,806,51,69,559,38.3,15.8,1.0465
1,5.6,795,52,65,604,38.4,17.5,1.1609
1.2,6.7,842,70,73,729,37.2,20.5,1.2813
1.5,6.7,844,90,78,747,32.3,30.4,1.445
1.9,9.2,946,111,98,932,30.5,33.9,1.4564
1.8,8.2,909,107,99,928,29.2,37.8,1.5098
1.4,7,859,73,83,860,28.4,39.1,1.4881
1.7,9.5,959,75,88,963,27.7,40.6,1.4828
2.7,15.1,1151,144,117,1309,27.2,42.5,1.5069
2.1,11.7,1041,120,97,1266,26.5,44.8,1.528
1.4,9.3,950,71,75,1181,25.5,47.6,1.5318
1,6.4,829,40,53,937,25.2,47.8,1.5076
0.8,4.2,723,34,45,789,23.2,52.3,1.4668
0.5,2.6,628,27,42,682,24,50.3,1.4811
0.6,2.8,641,30,44,717,23.5,51.2,1.4634
0.6,3.1,661,40,50,696,23.5,50.8,1.452
1,6.2,820,56,60,807,24.7,47.6,1.4597
1.6,7.9,894,104,100,1025,27.2,41.1,1.4611
1.9,10.5,996,121,111,1090,31,32.4,1.4294
1.7,9,941,100,110,932,35.2,24.8,1.3854
0.8,3.5,684,42,56,467,39,15.1,1.0424
0.7,4.2,722,40,54,490,41.8,11.9,0.9476
1.6,7.9,894,95,109,800,41.4,15.5,1.2089
1.7,10.3,990,90,103,849,34.3,26,1.3865
2,10.5,996,111,120,934,32.7,27.7,1.3439
2.3,12.7,1075,135,134,1081,30.5,30.4,1.3031
2.4,11.9,1046,146,137,1102,29,33.6,1.3277
1.2,7.9,896,69,78,926,27.2,38.9,1.3821
1,5,765,47,63,786,26.7,40,1.3754
0.6,3.4,679,26,41,619,26,41.2,1.3598
0.4,2.7,632,24,39,634,24,46.6,1.37
0.5,3.1,656,55,60,722,24,46.4,1.3689
0.7,5,763,47,54,717,23.7,47.1,1.3602
3.2,20.7,1316,209,119,1445,23.6,47.3,1.3634
4.6,24.2,1410,337,182,1791,28.5,36.8,1.4128
3.3,16.6,1198,280,183,1413,32.6,28,1.3566
2.1,13.2,1091,169,144,1092,36.3,23.4,1.3902
1.9,12.3,1060,126,118,940,37.5,21.5,1.3673
1.9,12.1,1053,108,106,883,39.6,19,1.3447
1.6,11.1,1018,93,97,850,40.1,19.3,1.4013
1.8,11.6,1037,110,130,835,39.9,20.1,1.4495
3.4,19.5,1283,203,160,1232,37,21.9,1.3503
2.5,15.1,1151,116,115,1143,31.9,30.6,1.4201
1.8,11.1,1020,89,92,1014,29.7,33.9,1.3874
1.8,11.7,1038,103,99,1088,28.6,36.8,1.416
1.5,9.7,966,86,80,1090,27.8,40,1.4691
0.8,6,814,52,65,979,27.5,41.3,1.4962
0.5,3,652,42,54,816,25.9,45.1,1.4889
0.7,5.4,784,57,62,934,25.3,47.6,1.5108
3.4,23.5,1391,228,102,1548,24.7,49.5,1.5201
5.7,33.5,1631,350,140,1858,27.1,43.1,1.5224
2.7,15.3,1157,206,132,1334,32.4,32.3,1.5484
2.1,12.8,1078,159,122,1140,35.4,27.8,1.5733
2.5,15.7,1170,136,133,1054,37.8,24.4,1.5722
2.1,12.3,1062,124,130,924,37.2,25.5,1.5914
2.7,17.6,1229,156,172,1282,38,25,1.6312
3.7,21.5,1338,200,198,1362,37.1,26.9,1.6635
3.7,23.2,1382,202,181,1441,36.9,27.8,1.7099
4.6,25.6,1443,286,202,1559,34.7,31.9,1.7325
2.6,14.3,1126,141,120,1198,31.9,38.4,1.7897
2.5,14.4,1130,117,115,1246,30.5,42.3,1.8173
2.3,12.6,1070,110,112,1192,29.3,45.8,1.8362
2.5,13.1,1087,112,100,1252,27.3,51,1.8287
0.9,6.1,818,35,47,777,26.8,52.4,1.8141
0.8,5.8,801,33,44,798,26,54.9,1.8141
0.5,2.6,629,28,42,728,26.9,51.8,1.805
0.7,4.6,742,49,57,953,24.6,59.1,1.8013
2.2,15.2,1155,178,106,1338,27.3,46.4,1.6542
2.8,16.7,1202,223,136,1622,28.4,40.4,1.5442
2.9,17,1209,290,157,1812,30.8,37.1,1.6169
3,16.1,1183,278,190,1509,37,26.5,1.6352
2.3,14,1117,118,139,1044,36.9,26.9,1.6477
2.1,13.4,1097,141,152,1015,39.3,22.2,1.552
1.9,10.4,993,131,143,825,38.5,22.4,1.5018
4.2,24.5,1418,287,226,1913,38.8,24.2,1.6433
4.9,27.8,1499,267,207,2043,33.5,38,1.939
4.9,23.3,1385,280,197,1661,34,32.9,1.7251
3.5,17.6,1227,224,158,1404,31.9,33.7,1.5663
2.5,14.4,1129,118,110,1181,28.9,41,1.6096
2.6,14.2,1122,128,112,1272,27.8,45.2,1.6604
1.5,9.9,974,66,77,982,26.2,49.4,1.6555
0.6,3.2,664,31,40,727,24.9,54.6,1.6908
0.9,6.4,828,66,60,994,24.4,55.2,1.6604
2.4,17.1,1214,154,85,1322,25.1,54.3,1.7057
3.9,22.3,1359,239,120,1617,26.6,51.2,1.7565
2.9,14.6,1138,246,134,1430,28.2,47.1,1.7752
2.7,13.3,1093,261,149,1357,31.6,39.4,1.7969
2,10.5,996,179,125,994,34.2,31.8,1.6837
2.4,14.2,1124,159,132,1054,36.6,27.1,1.6352
2,12.2,1056,111,114,945,37.6,26.9,1.715
1.8,10.1,983,101,110,808,38.1,26.3,1.7213
1.8,10.9,1009,120,127,787,37.8,22.7,1.4653
2.9,17.3,1219,177,157,1077,36.9,24.7,1.5134
3.3,18,1239,186,169,1106,34.5,28.5,1.531
4.4,22.9,1376,235,179,1356,32.5,30.9,1.4875
1.9,10.2,985,106,111,925,28.7,34.7,1.3457
2.1,11.6,1035,107,112,1059,27.7,39.3,1.4372
2.3,13.3,1093,117,105,1205,26.1,45.3,1.5115
1.7,10,977,83,90,1103,25.9,46.1,1.5174
0.5,2.9,647,50,61,740,25.1,48,1.5115
0.8,5.6,795,60,63,770,24.8,50.6,1.5654
2.6,17.5,1225,179,102,1327,25.7,49.7,1.615
2.9,17,1210,263,147,1477,29.3,40,1.6082
2.8,15.6,1168,265,158,1311,33.6,28.7,1.4693
1.9,12,1051,125,120,923,36.9,23.3,1.4313
1.7,11,1015,125,117,839,38.8,20.7,1.4036
1.7,11.2,1021,115,119,827,38.1,22.6,1.4868
1.9,10.5,995,162,149,821,37.1,23,1.4229
2.1,11.8,1043,149,174,749,34.8,19.3,1.0543
2.4,13.8,1110,161,163,871,33.6,20.7,1.059
3,17.3,1220,201,161,1077,31.4,18.5,0.8376
2.1,12.7,1073,133,122,1124,26.1,31.1,1.0338
1.8,10.1,983,134,119,1064,25.5,34,1.0935
2.5,13.1,1087,164,131,1240,24,37.8,1.1125
0.7,4.6,745,50,77,807,23.4,40.6,1.1571
0.4,2.8,639,27,41,573,22.6,43,1.1629
0.7,5.9,809,69,69,807,20.5,49.3,1.176
2.3,14.4,1130,208,120,1401,23.2,43.9,1.2344
1.7,9.9,976,139,113,999,29.9,31.1,1.2883
1.3,8.8,930,104,97,712,33.9,21.3,1.1067
1.3,7.4,873,89,86,614,36.6,15.2,0.9177
0.8,6.1,817,57,70,554,37.4,15.8,0.9998
0.8,6.2,822,64,70,722,37.9,15,0.9721
1.1,7.1,862,65,82,636,38,16.8,1.0933
1.2,8,900,79,93,664,36.9,17.5,1.0789
1.2,7.3,869,80,89,624,35.3,17,0.9561
1.4,8.7,926,81,90,659,31.9,20.4,0.9462
1.1,7.5,880,59,67,695,29.1,29.6,1.1792
1.1,6.4,831,68,71,887,24.5,44.4,1.3476
0.6,3.8,702,31,43,767,20.3,59.6,1.3994
0.6,4,708,40,44,780,21.3,56.7,1.4178
0.6,4.2,723,36,42,698,23,54.6,1.5177
1.1,6.1,817,64,69,821,23.7,54.3,1.5731
1,6,810,56,65,772,25.4,49.3,1.5732
1,5.9,809,56,68,690,29.6,37.7,1.544
1,5.4,783,43,58,586,33.9,26.2,1.3664
0.8,4.9,757,40,52,523,35.8,22.4,1.2933
0.7,3.9,703,34,46,488,37.9,18.8,1.222
0.4,3.2,664,28,40,427,38.5,14.8,0.9942
0.5,4.1,718,32,47,468,39.3,14.5,1.0149
0.6,4,708,39,56,489,38.9,15.6,1.0613
0.7,4.8,752,52,64,515,37.9,12.7,0.8211
0.9,5.5,788,60,71,562,35.8,13.4,0.7749
1.6,9.1,942,104,103,776,32.3,19.7,0.9345
1.6,9.1,944,102,97,833,30.1,23.5,0.9869
1.7,10.1,981,120,108,1023,28.2,28.7,1.0806
1.9,9.9,973,121,104,1089,25.3,39.2,1.2452
1.5,9,939,107,93,1103,24.7,38.7,1.1845
0.6,3.7,692,41,55,734,25.5,35.7,1.1499
0.4,3,652,34,49,671,22.5,43.2,1.1589
0.4,2.4,613,38,43,641,21.6,45.7,1.1665
3.6,19.1,1272,317,157,1474,26,30.1,0.9953
3.2,15.9,1176,330,175,1370,30.6,23.2,1.001
2.2,12.3,1060,204,147,1141,34.1,19.1,1.0048
2.2,12.2,1057,189,140,1076,36.2,18,1.0636
1.8,10.4,994,139,123,881,39.5,15.6,1.102
2,12.7,1074,156,138,960,40.4,14.9,1.1033
1.8,11.1,1018,130,132,883,40.1,16.1,1.1699
3,19,1269,173,174,1221,39.3,18.9,1.3251
3.5,19.1,1270,239,176,1264,33.6,22.9,1.1747
2.5,13.6,1105,139,125,1061,30.7,28.9,1.2501
1.8,10.7,1004,92,98,947,28.8,32.8,1.2776
1.9,11.3,1025,104,103,1059,27.3,36.8,1.3207
1.9,9.6,962,108,104,1030,26.2,39.7,1.3249
0.7,4.1,718,43,60,837,23.3,48.4,1.3677
0.4,2.2,602,23,36,596,23.5,46.7,1.3361
0.7,4.6,743,65,66,884,21.8,52.3,1.3539
1.6,10.2,985,165,97,1170,21.8,52.5,1.3529
3.8,23.3,1386,274,115,1596,22.9,49.1,1.3546
5.1,31,1575,369,145,1873,24.9,43.3,1.3422
3.4,17.6,1227,308,162,1608,26.7,39.4,1.3556
2.6,14.3,1125,227,147,1470,30.5,32.9,1.4135
2.2,13.7,1108,178,132,1275,34.2,27.2,1.4404
3.4,19.3,1276,267,179,1407,38.2,20.9,1.3701
3.4,19.3,1278,278,174,1302,39.6,16.9,1.2028
1.8,11.3,1026,165,132,931,39.9,15.8,1.141
2,12.7,1075,172,151,917,40.2,13.9,1.02
3.8,22.5,1364,306,192,1265,39.5,12.6,0.8894
4.4,25,1430,317,194,2475,37.9,13.9,0.9015
3.9,21.1,1327,251,155,2021,34.2,17.9,0.9444
4,23.8,1398,230,159,1834,32.6,20.6,0.9939
2.1,12.8,1078,137,108,1272,28.8,25.1,0.9793
2.4,14.3,1128,133,110,1490,27.8,29.9,1.1018
2.1,14.3,1128,117,99,1440,26.9,32.6,1.1381
1.6,9.2,948,106,95,1271,26.3,33.7,1.1377
0.8,5.1,767,55,69,985,25.7,33.9,1.1065
0.4,2.6,626,27,45,754,25.5,34.6,1.1096
0.5,4,709,46,53,853,24,37.8,1.1077
1.3,9.9,976,144,88,1340,23.9,39.3,1.1522
4.1,27.9,1500,358,141,2021,26.9,34.4,1.2036
4,24.5,1415,381,189,1902,29.6,28.7,1.1706
2,11.9,1045,207,154,1260,38.3,17,1.1216
2,13.1,1088,155,149,1124,40.4,14.5,1.0736
2.2,15.1,1152,193,142,1309,42.6,9.6,0.8012
2.2,14.1,1120,195,130,1283,42.5,10.2,0.8478
1.8,11.3,1024,159,121,1068,41,11.6,0.8872
1.8,10.8,1007,120,116,937,41.3,13,1.0154
3.3,21.5,1339,228,177,1416,39.2,14.5,1.0106
4.3,21.8,1347,348,233,1611,36.9,17.9,1.096
5.3,29.8,1546,337,223,1919,35.6,20.4,1.1646
4.3,22.5,1364,282,184,1745,33.7,22.6,1.1658
3.6,21.8,1346,228,165,1837,31.5,27.8,1.2671
2.4,17.1,1214,168,132,1759,31.1,29.3,1.3055
2.1,15.4,1161,173,122,1593,30.2,30.9,1.3026
0.9,7.2,864,65,79,1231,28.4,32.5,1.2361
0.6,5.8,803,43,60,1066,27.5,34,1.231
0.6,5.4,784,66,74,1204,25.6,38.8,1.2545
0.6,6.2,821,57,62,1079,27.5,34.6,1.2518
2.2,16.9,1208,231,115,1593,25.9,37.4,1.2289
3.2,23.2,1384,219,119,1745,28.5,32.5,1.2441
3,18,1240,288,155,1847,29.5,32.7,1.3229
2.7,17.6,1227,312,162,1845,29.8,33.1,1.3693
3.2,20.3,1306,361,189,1886,33.4,26.8,1.3586
1.4,10.6,1000,147,115,1039,40.3,15.8,1.1604
1.4,10.7,1004,98,108,926,41.1,15.7,1.2071
2.4,16.9,1206,213,167,1301,40.9,14.6,1.114
3.1,20.5,1310,250,200,1385,39.1,16.9,1.1705
3.5,19.4,1281,253,178,1474,36.4,27.3,1.6308
5.1,30,1552,317,206,1948,34.9,29.3,1.611
4.5,24.6,1419,309,192,1677,33.6,26.4,1.3515
2.6,15.8,1175,173,128,1424,30.5,29.7,1.2742
2.7,16.6,1198,156,121,1504,29.4,35.6,1.4383
3.2,19.5,1282,190,136,1661,29.1,34.8,1.38
2.3,16.6,1198,129,109,1714,27.7,41.9,1.537
1,6.2,822,65,74,1050,27.9,41.6,1.5425
0.4,2.3,605,29,40,456,27.4,42.2,1.5177
0.6,3.9,707,58,61,554,26.6,42.8,1.4713
2.9,18.1,1241,228,129,1280,27,37.3,1.3081
1.7,9.6,964,149,137,786,32.9,20.1,0.9902
1.5,9.5,959,111,116,690,33.9,18.4,0.9587
1.7,9.6,962,145,129,742,34.4,19.3,1.0325
1.5,10.3,990,113,138,705,33.2,20.4,1.0195
1.5,10.2,985,115,139,677,32.4,19.1,0.915
2.3,14,1116,202,180,877,32.2,17.1,0.8124
2.2,14,1117,180,162,844,31,17.1,0.7526
2.8,16.6,1199,190,158,1006,28.3,24.9,0.9412
2.7,13.6,1105,207,162,987,26.6,30.2,1.033
1.5,9.5,958,98,104,861,23.7,43.4,1.2495
2.3,11.8,1043,152,125,1042,23,46.2,1.2815
2.3,13,1082,161,127,1080,22.7,47.7,1.2977
1.5,9.6,963,91,95,811,22.2,49.5,1.3081
0.3,2.6,626,22,33,484,22.4,49.7,1.3333
0.4,4,711,41,45,580,21.7,52,1.3313
0.5,4.3,725,53,56,668,21.1,53.2,1.3181
1.1,6.8,848,91,84,739,25,41.6,1.301
1.4,8.8,933,89,93,763,26.7,36.4,1.2596
1.1,6.7,843,81,97,614,29.1,29.7,1.1751
0.9,6.4,831,66,83,566,31.2,23.4,1.0487
0.8,6,812,53,71,508,32.4,20.5,0.9806
0.8,6,811,61,78,509,33.3,19.2,0.9634
0.6,5,766,48,62,457,33.1,16.8,0.8391
0.6,4.4,731,39,54,438,33.1,18.3,0.9081
0.5,4.4,732,41,59,427,32.4,18,0.8599
0.7,5.5,786,48,69,453,31.8,18.7,0.8624
0.8,5.8,803,50,67,479,30.3,21.4,0.9064
0.9,5.3,778,51,58,500,27.2,28.2,1.0013
1.3,8,900,70,77,647,26.1,33.7,1.1228
1.3,7.2,866,89,94,728,24.7,38.8,1.1929
1.9,10.4,993,139,110,946,23.1,44.2,1.2317
2.3,11.6,1035,176,116,1018,22.7,45.3,1.2299
1,6.4,831,71,74,789,21.6,47.5,1.2118
0.4,2.7,636,30,40,576,20.6,50.3,1.2041
0.3,2.6,628,29,36,555,20.6,50.6,1.2119
0.2,2.3,606,25,35,552,21.3,48.8,1.2189
0.6,4.6,741,44,57,573,27.9,33.6,1.2433
0.6,3.9,703,35,54,514,29,28.3,1.1116
0.5,3.8,697,32,46,478,29.5,25.9,1.0489
0.4,2.8,636,21,36,424,31.8,22.3,1.0366
0.2,2.5,619,10,19,386,32.2,20,0.9488
0.4,3,651,22,34,403,32.4,19.3,0.922
0.6,4.7,751,46,63,462,33,17.7,0.8758
0.9,5,765,66,86,489,32,19.8,0.9273
0.7,4.5,736,49,65,463,29.6,24.1,0.9831
1.2,7.7,885,86,101,585,26.9,27.1,0.948
1.6,9.7,967,111,116,748,25.3,30.9,0.9815
2.4,11.8,1042,184,136,1022,23.2,43.2,1.2104
0.9,7.5,879,78,82,834,21.6,44,1.1244
0.8,5.7,800,50,68,751,20.7,46.4,1.1198
0.2,2,581,13,22,505,21.2,46.2,1.1482
0.5,3.3,672,43,43,628,20,51.8,1.1967
1.4,9.4,955,146,84,1043,18.5,57.4,1.2076
3.3,21.1,1328,333,108,1463,19.6,54.3,1.2278
3.6,17.2,1217,298,112,1358,21.3,49.7,1.2452
2.1,12.1,1052,183,104,952,28.5,27.3,1.0479
1.3,6.4,831,105,72,710,26,34.9,1.1509
1.6,8.3,912,144,106,814,24.8,33.1,1.0222
3.1,14,1117,220,119,1052,24,36.3,1.0708
3.3,15.3,1159,207,119,1060,23.6,35.5,1.0187
3.4,15.4,1161,210,128,1153,23.6,35.7,1.0282
1.5,7.5,877,117,95,781,22.5,36.8,0.988
1.3,5.2,773,93,85,653,21.3,38.7,0.9686
1.6,7.1,863,118,101,777,20.9,39.4,0.9596
1.5,7.6,883,132,94,1015,19.8,47.7,1.093
1,5,764,88,76,922,19.3,51.4,1.1387
0.5,2,587,43,50,678,18.4,53.4,1.117
0.6,2.5,620,44,51,725,16.3,59.8,1.1042
1.3,7.3,871,101,62,887,16.2,57.4,1.0515
5,27.6,1495,379,129,1647,19.2,48.8,1.0751
3.6,16.7,1200,321,135,1489,21.7,42.4,1.0859
2.7,14.5,1133,253,141,1174,33.7,15.4,0.7913
2.3,11.5,1031,187,112,901,34.5,13.3,0.7158
2,10.8,1007,149,105,794,33.8,13.9,0.7172
1.3,6.4,830,89,72,577,30.1,19.4,0.8157
1.7,8.8,931,124,90,776,28.3,21.3,0.8054
2.8,14.3,1127,206,126,982,31.9,18.3,0.8523
3.8,19.4,1279,241,154,1256,32,20.1,0.9364
4.9,27.1,1483,303,173,1483,28.9,24.1,0.9495
4.3,19.7,1289,294,162,1390,27.3,27.1,0.967
2.6,13.6,1105,203,128,1195,26,28.5,0.9484
2.4,12.1,1054,176,120,1135,25.2,28.6,0.9008
1.9,11,1014,155,111,1115,24.3,31.1,0.9316
1.4,8.8,930,108,89,1026,23.6,33.8,0.9685
0.9,6.3,824,65,70,925,22.2,38.4,1.0126
0.5,2.9,645,39,59,781,20.5,42.3,1.0091
0.8,5,762,79,73,959,18.8,49,1.0505
4.7,27.5,1492,427,142,1686,19.9,46.5,1.071
3.7,19.8,1290,311,156,1643,24,36.4,1.0706
2.8,15.7,1171,275,148,1360,30.2,22.8,0.9616
1.8,11.3,1026,195,122,944,33.4,17.1,0.8627
1.9,12.6,1069,144,106,905,35.1,15,0.8381
2,14.4,1131,200,127,968,35.7,13.6,0.7836
2.1,11.7,1041,203,136,936,32.3,16.7,0.7946
4,22.9,1374,263,172,1225,35.8,13.7,0.7868
4.6,25,1430,300,190,1372,32.3,18.4,0.8753
3,15.5,1163,189,160,1139,29.7,25,1.0246
2.9,16.7,1200,185,159,1505,27.8,26.6,0.9748
1.9,11.2,1023,134,123,1074,26.3,27.3,0.9238
1.4,9,939,96,101,868,25.3,30,0.9508
2.1,12.1,1053,122,116,1095,24,34.9,1.0271
1.2,8.9,937,64,80,989,23.4,38.6,1.0968
0.6,3.7,695,30,51,658,23.5,38.3,1.0972
0.4,3.1,660,36,46,618,21.4,45.6,1.1493
2.3,15.6,1166,168,108,1229,21.3,48.4,1.2119
4,25.2,1434,306,151,1494,22.9,47.9,1.3208
2.8,15.4,1160,231,153,1281,24.4,45.5,1.3721
1.6,8.4,914,157,116,954,27.6,38,1.3818
1.6,8,899,132,116,810,31.1,29.6,1.318
2,12.1,1052,136,130,882,33.4,24.7,1.2516
2.2,14.3,1127,163,152,928,36.5,18.1,1.0887
3.2,20.3,1306,259,198,1218,35.5,19.1,1.0888
3.6,20.5,1309,236,183,1170,33.7,20,1.0275
3.8,22.1,1355,245,175,1620,30.5,22.7,0.9763
4.8,23.8,1399,344,193,1508,28.7,26.2,1.0144
2.8,14.7,1139,188,140,1318,26.7,28.9,0.9981
2.6,15.1,1152,149,128,1189,25.7,31.6,1.0285
1.9,10.8,1006,102,100,1000,24.5,35.7,1.0807
1.7,10.2,985,99,97,1020,24.3,36.3,1.0852
1,6.5,834,48,67,767,23.8,36.9,1.0748
0.7,3.9,706,36,58,674,23.7,37.3,1.076
0.4,2.1,593,30,45,545,21.6,42.2,1.0762
0.6,3.4,677,56,62,685,20.3,46.8,1.1
0.7,4.7,747,51,59,702,20.7,45.9,1.1088
2.4,15.8,1174,172,102,1188,20.5,47.7,1.1419
4.4,26.6,1470,316,154,1589,22.4,46.6,1.247
3.1,14.8,1143,269,157,1331,24.2,48.5,1.4452
2.1,12,1049,206,142,1137,32.8,25.2,1.2325
2.1,10.9,1012,156,125,851,34.4,19.9,1.0647
2.1,11.9,1047,120,120,782,36.5,16.7,1.0045
2.2,13.2,1092,161,150,908,37.5,14.3,0.9099
1.6,8.9,937,114,120,806,38,15.5,1.0119
2.4,13,1084,191,173,985,38.1,16.5,1.0828
4,23.7,1395,287,206,1411,35.9,17.7,1.0316
4.1,21.6,1341,266,187,1395,32.4,21.5,1.0303
2.3,12.3,1060,144,124,1185,26.9,30.5,1.0671
2.2,13.6,1103,142,119,1235,25.7,33.5,1.0918
2.1,12.8,1078,124,108,1317,24.7,36.9,1.1302
1.6,9.4,956,93,93,1114,23.6,39.2,1.1306
0.7,5,764,51,63,826,21.3,46.5,1.1608
1.3,8.2,908,83,75,1057,21.1,46.9,1.1585
2,10.7,1004,175,111,1302,22.8,43,1.1731
1.9,10.3,990,148,116,1284,25,38.3,1.198
2.2,12.9,1080,167,138,1348,30.9,26.9,1.1835
1.5,8.3,913,78,94,759,36.9,17.2,1.0576
1.4,8.2,907,76,91,680,39.3,13.9,0.9715
1,5.2,772,45,60,516,40.3,12.6,0.9302
1,4.6,743,54,66,500,39.7,13.5,0.965
1.6,9.4,954,87,106,1360,40.1,14.9,1.0828
2.1,10.7,1003,95,112,842,34,19.2,1.0073
